,0
799,0
800,2
801,0
802,1
803,0
804,0
805,0
806,0
807,1
808,2
809,0
810,1
811,0
812,0
813,1
814,0
815,0
816,0
817,1
818,1
819,1
820,2
821,2
822,0
823,2
824,0
825,1
826,1
827,0
828,0
829,1
830,0
831,0
832,0
833,0
834,0
835,1
836,0
837,1
838,1
839,0
840,1
841,1
842,1
843,1
844,2
845,0
846,0
847,3
848,3
849,0
850,0
851,0
852,5
853,0
854,2
855,3
856,0
857,1
858,0
859,1
860,1
861,0
862,3
