,index,x0,iata,latitude,longitude,country,state,region,hub
113,113,0.001859011245298358,MAF,31.94083333,-102.20138889,US,TX,centre,no
114,114,0.721270371863511,MFE,26.17694444,-98.23972222,US,TX,centre,no
115,115,0.14102103415570488,MHT,42.93833333,-71.43888889,US,NH,east,no
116,116,0.9980301143690592,MOT,48.25944444,-101.28083333,US,ND,centre,no
117,117,0.45212815389644995,MRY,36.58805556,-121.84805556,US,CA,west,no
118,118,0.2608626316317428,MSP,44.88611111,-93.21777778,US,MN,centre,yes
119,119,0.19398614231130876,MSY,29.99111111,-90.25138889,US,LA,centre,no
120,120,0.08551194944237314,OAK,37.72138889,-122.22083333,US,CA,west,no
121,121,0.0019993215617542465,OKC,35.39222222,-97.60166667,US,OK,centre,no
122,122,0.43190923603674425,OMA,41.30194444,-95.89333333,US,NE,centre,no
123,123,0.8156238629770189,ONT,34.05611111,-117.60111111,US,CA,west,no
124,124,0.6051112475205894,ORF,36.89583333,-76.20138889,US,VA,east,no
125,125,0.11429587479307367,PBI,26.68222222,-80.09416667,US,FL,east,no
126,126,0.2865930685189821,PDX,45.58916667,-122.595,US,OR,west,no
127,127,0.1498558495829756,PHX,33.43611111,-112.00944444,US,AZ,west,no
128,128,0.787926083467491,PSC,46.26388889,-119.11472222,US,WA,west,no
129,129,0.7075276565343163,PSP,33.82666667,-116.505,US,CA,west,no
130,130,0.0433750462861722,PVD,41.72833333,-71.42611111,US,RI,east,no
131,131,0.5257639441495746,RDU,35.87527778,-78.78194444,US,NC,east,no
132,132,0.1770629733405784,RNO,39.49777778,-119.7675,US,NV,west,no
133,133,0.6087115700674269,SAN,32.73277778,-117.18722222,US,CA,west,no
134,134,0.3712543077022866,SAT,29.53333333,-98.46944444,US,TX,centre,no
135,135,0.5016816638918179,SBA,34.42777778,-119.83944444,US,CA,west,no
136,136,0.4795563353583639,SBP,35.23666667,-120.63916667,US,CA,west,no
137,137,0.2804705831895265,SDF,38.17972222,-85.73861111,US,KY,centre,no
138,138,0.648314101379296,SEA,47.44722222,-122.30555556,US,WA,west,no
139,139,0.10623052773256801,SFO,37.61888889,-122.375,US,CA,west,no
140,140,0.08547823273264842,SJC,37.36277778,-121.94055556,US,CA,west,no
141,141,0.7295455911806724,SMF,38.69555556,-121.58972222,US,CA,west,no
142,142,0.5811083510265591,SNA,33.67555556,-117.86694444,US,CA,west,no
143,143,0.001896351501106582,SVC,32.63194444,-108.15388889,US,NM,west,no
144,144,0.23277503832024232,TLH,30.39972222,-84.35194444,US,FL,east,no
145,145,0.9965437972657999,TPA,27.97305556,-82.53527778,US,FL,east,no
146,146,0.12847571239892977,TUS,32.11611111,-110.94055556,US,AZ,west,no
147,147,0.9968316704077241,ABR,45.44972222,-98.42166667,US,SD,centre,no
148,148,0.018072120470851338,ATY,44.90888889,-97.15416667,US,SD,centre,no
149,149,0.0015508359832287104,ABY,31.53222222,-84.19611111,US,GA,east,no
150,150,0.0011584100084628935,GLH,33.48444444,-90.985,US,MS,centre,no
151,151,0.73598339705593,SDM,32.57222222,-116.97944444,US,CA,west,no
152,152,0.001119839793077936,ACK,41.25666667,-70.05972222,US,MA,east,no
153,153,0.43942569655491637,BDR,41.16416667,-73.12444444,US,CT,east,no
154,154,0.8390833279642032,CT1,41.69027778,-72.86472222,US,CT,east,no
155,155,0.012030436323543125,EWB,41.67694444,-70.95916667,US,MA,east,no
156,156,0.9092075758848908,FRG,40.72944444,-73.415,US,NY,east,no
157,157,0.001298588260785836,HFD,41.73333333,-72.65,US,CT,east,no
158,158,0.2027370156314623,HTO,40.95944444,-72.25166667,US,NY,east,no
159,159,0.46870205812615934,HVN,41.26527778,-72.88833333,US,CT,east,no
160,160,0.9974710492430096,HYA,41.66583333,-70.28055556,US,MA,east,no
161,161,0.9989720108861233,MMU,40.79916667,-74.41583333,US,NJ,east,no
162,162,0.8000342910296664,MVY,41.39277778,-70.61666667,US,MA,east,no
163,163,0.011097447118597396,OWD,42.19194444,-71.17722222,US,MA,east,no
164,164,0.08005744975263313,OXC,41.47861111,-73.13527778,US,CT,east,no
