,index,x0,iata,latitude,longitude,country,state,region,hub
165,165,0.6151591167019853,TEB,40.84972222,-74.06222222,US,NJ,east,no
166,166,0.0009327446445635274,ZXU,41.59722222,-71.41222222,US,RI,east,no
167,167,0.9983198251124115,ACT,31.61138889,-97.22861111,US,TX,centre,no
168,168,0.4951902391914634,COU,38.81361111,-92.21916667,US,MO,centre,no
169,169,0.9977238594732477,FOE,38.9525,-95.6625,US,KS,centre,no
170,170,0.6992850635381166,LAN,42.77916667,-84.58833333,US,MI,east,no
171,171,0.1365475247084191,MHK,39.14222222,-96.66888889,US,KS,centre,no
172,172,0.0715050631309754,SWO,36.15888889,-97.08555556,US,OK,centre,no
173,173,0.7248498091076446,TUP,34.25888889,-88.76722222,US,MS,centre,no
174,174,0.11098683984265621,TYS,35.81222222,-83.9925,US,TN,east,no
175,175,0.9111281205561257,ACV,40.97916667,-124.1075,US,CA,west,no
176,176,0.2247083061302167,BLI,48.79444444,-122.53472222,US,WA,west,no
177,177,0.9978146438560751,CEC,41.78,-124.23583333,US,CA,west,no
178,178,0.6397757584831891,RDD,40.50833333,-122.29222222,US,CA,west,no
179,179,0.05420096839949751,ACY,39.45611111,-74.57805556,US,NJ,east,no
180,180,0.9951755863498244,AGS,33.36916667,-81.96444444,US,GA,east,no
181,181,0.9975045045950395,CAE,33.93638889,-81.11583333,US,SC,east,no
182,182,0.002983109347345285,CAK,40.91388889,-81.44166667,US,OH,east,no
183,183,0.2102029871882,CEF,42.19777778,-72.53055556,US,MA,east,no
184,184,0.014231493743405354,CRW,38.37277778,-81.59305556,US,WV,east,no
185,185,0.29456600226754115,CWA,44.78222222,-89.65916667,US,WI,centre,no
186,186,0.27375496881473077,DAB,29.1825,-81.05277778,US,FL,east,no
187,187,0.9985274334744928,FAY,34.99138889,-78.88027778,US,NC,east,no
188,188,0.7770283108974146,FWA,40.97833333,-85.18805556,US,IN,east,no
189,189,0.7564746803318986,GRR,42.88111111,-85.52416667,US,MI,east,no
190,190,0.27446250477403666,GSO,36.09194444,-79.94277778,US,NC,east,no
191,191,0.09073202507142299,GYY,41.61805556,-87.41555556,US,IN,east,no
192,192,0.19232498397680417,ISO,35.32666667,-77.61666667,US,NC,east,no
193,193,0.9231883918832232,JST,40.31666667,-78.83444444,US,PA,east,no
194,194,0.6423724744203243,LNK,40.85083333,-96.75888889,US,NE,centre,no
195,195,0.8908995853135999,LUK,39.10277778,-84.42138889,US,OH,east,no
196,196,0.0017847509441804143,MOB,30.68833333,-88.24083333,US,AL,centre,no
197,197,0.9988585742384742,ORH,42.26916667,-71.87444444,US,MA,east,no
198,198,0.2536927300907218,PGV,35.63333333,-77.38527778,US,NC,east,no
199,199,0.32747800724053633,PWM,43.64444444,-70.30361111,US,ME,east,no
200,200,0.008409783787464148,RME,43.23388889,-75.4075,US,NY,east,no
